program_key,conference_regular_season_championships,conference_tournament_championships,ncaa_tournament_appearances,final_four_appearances,national_championships,best_finish_key,best_finish_year,verification_status,verification_basis,canonical_crosscheck_status,notes
texas-state,4,2,2,0,0,ROUND_OF_64,1997,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
texas-tech,12,5,23,1,0,NATIONAL_RUNNER_UP,2019,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
the-citadel,0,1,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
toledo,12,1,4,0,0,SWEET_SIXTEEN,1979,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
towson,6,3,2,0,0,ROUND_OF_64,1991,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
troy,8,4,4,0,0,ROUND_OF_64,2026,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
tulane,4,0,3,0,0,ROUND_OF_32,1995,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
tulsa,11,6,16,0,0,ELITE_EIGHT,2000,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
uab,6,7,17,0,0,ELITE_EIGHT,1982,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
ualbany,2,5,5,0,0,ROUND_OF_64,2015,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
uc-davis,2,1,1,0,0,ROUND_OF_64,2017,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
uc-irvine,10,2,2,0,0,ROUND_OF_32,2019,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
uc-riverside,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
uc-san-diego,1,1,1,0,0,ROUND_OF_64,2025,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
uc-santa-barbara,6,5,7,0,0,ROUND_OF_32,1990,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
ucf,1,4,6,0,0,ROUND_OF_32,2019,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
ucla,38,4,54,19,11,NATIONAL_CHAMPION,1995,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
uconn,33,11,39,8,6,NATIONAL_CHAMPION,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
uic,2,2,3,0,0,ROUND_OF_64,2004,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
ul-monroe,8,8,7,0,0,ROUND_OF_64,1996,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
umass-lowell,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
umbc,4,3,3,0,0,ROUND_OF_32,2018,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
unc-asheville,8,6,5,0,0,ROUND_OF_64,2023,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
unc-greensboro,4,6,4,0,0,ROUND_OF_64,2021,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
unc-wilmington,10,7,7,0,0,ROUND_OF_32,2002,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
unlv,12,11,20,4,1,NATIONAL_CHAMPION,1990,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
usc,7,1,21,2,0,FINAL_FOUR,1954,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
ut-arlington,3,1,1,0,0,ROUND_OF_64,2008,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
ut-martin,2,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
ut-rio-grande-valley,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
utah,29,5,29,4,1,NATIONAL_CHAMPION,1944,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
utah-state,18,11,26,0,0,ELITE_EIGHT,1970,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
utah-tech,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
utah-valley,7,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
utep,11,5,17,1,1,NATIONAL_CHAMPION,1966,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
utsa,3,4,4,0,0,ROUND_OF_64,2011,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
valparaiso,14,10,9,0,0,SWEET_SIXTEEN,1998,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
vanderbilt,5,3,17,0,0,ELITE_EIGHT,1965,VERIFIED,Vanderbilt official 2025-26 Men's Basketball Fact Book and completed 2025-26 press-box history; owner-confirmed conference totals; canonical NCAA cross-check completed 2026-08-14.,MATCH,Verified for the accepted 1900-01 through 2025-26 history boundary.
vcu,14,12,21,1,0,FINAL_FOUR,2011,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
vermont,14,10,10,0,0,ROUND_OF_32,2005,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
villanova,14,8,42,7,3,NATIONAL_CHAMPION,2018,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
virginia,12,3,27,3,1,NATIONAL_CHAMPION,2019,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
virginia-tech,1,2,13,0,0,ELITE_EIGHT,1967,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
vmi,2,3,3,0,0,ELITE_EIGHT,1976,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
wagner,4,2,2,0,0,ROUND_OF_64,,UNDER_REVIEW,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,Owner baseline has two NCAA appearances and ROUND_OF_64 but no Best Finish Year; future source review required.
wake-forest,5,5,23,1,0,FINAL_FOUR,1962,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
washington,15,3,17,1,0,FINAL_FOUR,1953,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
washington-state,2,0,7,1,0,NATIONAL_RUNNER_UP,1941,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
weber-state,22,10,16,0,0,SWEET_SIXTEEN,1972,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
west-florida,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
west-georgia,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
west-virginia,14,13,31,2,0,NATIONAL_RUNNER_UP,1959,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
western-carolina,0,1,1,0,0,ROUND_OF_64,1996,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
western-illinois,2,1,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
western-kentucky,29,20,24,1,0,ELITE_EIGHT,1940,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
western-michigan,6,2,4,0,0,SWEET_SIXTEEN,1976,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
wichita-state,16,4,16,2,0,FINAL_FOUR,2013,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
william-mary,3,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
winthrop,12,13,11,0,0,ROUND_OF_32,2007,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
wisconsin,20,3,29,4,1,NATIONAL_CHAMPION,1941,VERIFIED,"Owner Gate 1 verified Wisconsin reference accomplishments: 20 Big Ten regular-season championships, 3 Big Ten Tournament championships, 29 NCAA Tournament appearances through 2026, 4 Final Fours, 1 NCAA championship, best finish NATIONAL_CHAMPION, best-finish year 1941.",MATCH,Verified through onboarding plan 41aaff807d66.
wofford,4,6,6,0,0,ROUND_OF_32,2019,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
wright-state,5,5,5,0,0,ROUND_OF_64,2026,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
wyoming,21,3,16,1,1,NATIONAL_CHAMPION,1943,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
xavier,17,10,30,0,0,ELITE_EIGHT,2017,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
yale,18,4,8,0,0,ELITE_EIGHT,1949,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
youngstown-state,1,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
